id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,weType,isMySubject,answerStatus,compileEnvironment
1909158463512956930,0,1,下列程序段的运行结果是?( ) def s(n): if n==3: return 4 else: return n+s(n-1) print(s(5)),1,12,13,15,C,"函数f作用是如果是3,返回值是4,如果是非3,就返回n+s(n-1).因实参为5,运行后返回值依次是5+s(4),4+s(3),也就是5+4+s(3),因为s(3)的值为4,所以最后求得是表达式5+4+4的值,结果为13.",0,0,0,0
1909158582205194242,0,1,"下列程序段的运行结果是16,则在 ① 处填写的代码是?( ) def s(n): s=1 for a in range(1,5): ① return s print(s(4))",s=s*2,s=s+n,s=s+a,s=s+1,A,"A选项表达式求得是2的4次幂,最后结果为16,B选项表达式求的是1加上4个n的和,结果为17,C选项表达式求的是1加上1至4之间所有数字的和,最后结果为11,D选项表达式求的是1加上4个1的和,结果为5.",0,0,0,0
1909160509320110081,0,1,"下列程序功能是通过递归来实现将一个十进制数转换为八进制数,则在______处填写的代码是?( ) def s(n): if n < 8: return str(n) else: return _____________ m = s(int(input(""输入十进制数字:""))) print(""转换后八进制数是:"",m)",s(n//8)+n,s(n//8),s(n//8)+str(n%8),str(n%8),C,"十进制转换八进制的方法是将n除以8,余数作为该位的值,商继续除以8,不断重复上述过程,直到商小于8,然后将之前求出的商依次输出即是转换后的8进制数,s函数将每次求出的余数放入字符串,商去求下一位的余数,所以递归表达式是s(n//8)+str(n%8).",0,0,0,0
1909160621828120578,0,1,"关于递归算法的特点,以下选项中描述错误的是?( )",递归算法一定存在递归出口,"递归的特点就是反复调用自身,将大问题变为同类小问题","递归可以避免使用复杂的循环结构,从而有效降低代码的复杂程度","递归算法简洁,运行效率较高",D,递归算法效率不高.,0,0,0,0
1909160717160075265,0,1,"有如下Python程序,执行该程序的结果是?( ) def nxs(n): s = 0 while n >0: s = s * 10 + n % 10 n //= 10 return s print(nxs(123))",123,6,231,321,D,函数nxs功能是计算n的逆序数.,0,0,0,0
1909160798683320322,0,1,"有如下Python程序,执行该程序后变量c的值是?( ) def prime(n): for i in range(2,n): if n % i == 0: return 0 return 1 c = 0 for i in range(2,10): if prime(i): c += 1",3,4,5,6,B,prime函数功能判断n是否是质数.,0,0,0,0
1909160888480997377,0,1,"有如下Python程序,执行该程序后,输出的结果是?( ) def zdz(s): m = s[0] for i in s[1:]: if i > m: m = i return m print(zdz('abc789XYZ'))",c,9,Z,None,A,函数zdz()的功能是求参数字符串中最大的字符.,0,0,0,0
1909163580402081794,0,1,"有如下Python程序,执行该程序后输出的结果是?( ) n = 10 def fun(): global n n = n ** 2 print(n) fun() print(n)",100 100,20 20,100 10,10 100,A,global定义全局变量.,0,0,0,0
1909163686723112962,0,1,"在Python中,可以通过什么语句导入现有的标准库或者其他人提供的第三方库来编程?( )",import,def,input,output,A,导入现有的标准库或者其他人提供的第三方库的操作方法.,0,0,0,0
1909163773662646274,0,1,"Python程序中某函数使用了3个变量,其中2个变量都指定了默认值,调用该函数时,参数的个数最少为几个?( )",0,1,2,3,C,Python自定义函数参数的基础知识.,0,0,0,0
1909167017663188993,0,1,"递归算法的基本思想是把规模较大的问题变成规模较小的问题,下列选项中哪一项必须要有?( )",循环语句,数学知识,明确的结束递归的边界条件,明确的开始递归的边界条件,C,递归算法的要素.,0,0,0,0
1909417200808796162,0,1,"图1是一个水平摆放的小正方体木块,图2,图3是由这样的小正方体木块叠放而成的,按照这样的规律放下去,第七个叠放的图形有多少个正方形木块?这个问题我们可以用以下什么算法解决?( )",查找,递推,排序,选择,B,"分别观察正方体的个数为:1,1+5,1+5+9,...从图2开始,正方形方格的数量为s[n]=s[n-1]+(n-1)*4+1.这是递推问题.",0,0,0,0
1909417327619002369,0,1,"以下算法中,不可以按照分治的策略问题由大化小的是?( )",快速排序,冒泡排序,汉诺塔,二分查找,B,"冒泡排序的数据是无序的,无法按照分治的策略问题规模由大化小.",0,0,0,0
1909417941361676290,0,1,"以下函数的功能是求长方形面积,函数调用的正确方式是哪一项?( ) def fun(a, b): return a * b","fun(a = 1, 2)",fun(a = 1),fun(2),"fun(1, b=2)",D,"位置实参与关键字实参混用,位置实参必须放在关键字实参之前,否则运行程序会报错.",0,0,0,0
1909418155594141697,0,1,"以下函数求圆的面积,运行如下代码结果正确的是哪一项?( ) def fun(r, pi=3.14): return r * r * pi print(fun(10, 3))",314,300,31.4,程序会报错,B,"如果在调用函数时给函数提供了实参,python将使用指定的实参值,而不是默认值.",0,0,0,0
1909418281969963009,0,1,"以下函数用""分治算法""求列表元素之和,请补全代码?( ) def fun(arr): if len(arr) == 1: return arr[0] mid = len(arr) // 2 left = fun(arr[:mid]) right = ____________ return left + right arr = [1,2,3,4,5,6,7,8,9,10] print(fun(arr))",fun(arr[mid+1:]),sum([mid:]),fun(arr[mid:]),sum(arr[mid+1:]),C,"分治算法将原问题分解为多个子问题,每个子问题与原问题类型相同,但比原问题规模小,所以划线处用切片方式取原数组的一半,并且是递归调用.选C",0,0,0,0
1909418532370292737,0,1,下列关于创建词云图的是哪个模块?( ),pyquery,wordcloud,xlrd,wheel,B,wordcloud模块可以用来创建词云图.,0,0,0,0
1909418686993309698,0,1,下列正确导入海龟库的方式是?( ),import turtle as,from turtle as t,from turtle import t,import turtle,D,"第三方库导入的方法 import 模块名1 [as 别名1], 模块名2 [as 别名2], ...",0,0,0,0
1909418873449271297,0,1,以下哪一项不属于分治算法的特征?( ),一个复杂的问题可以划分成多个相同或相似的子问题,划分出的子问题容易找到简单的求解方法,将所有子问题的解合并起来可以得到原问题的解,分治算法的执行效率很低,D,考查分治算法的特征.,0,0,0,0
1909418979096842242,0,1,"小明班上有50人,数学成绩已经由高到低排列,使用二分查找查找出小明的成绩,至多进行几次查找?( )",50次,8 次,7 次,6 次,D,"考查二分查找法的实施过程,对50人进行6次即可查找到.",0,0,0,0
1909419061974847489,0,1,"对于Python语句f=lambda x,y:x**y+x//y,print(f(7,2))的输出结果是?( )",17,18,52,53,C,"lambda表达式在Python当中和定义函数是完全等效的,7的2次方是49,7整除2的结果是3,两者相加结果为52.",0,0,0,0
1909419181438836737,0,1,"运行下列程序,输出的结果是?( ) def  fn(x, y): if x >=y: return x-y else: return y print(fn(4, 7),fn(8, 5))",7    3,7    5,-3    5,-3    3,A,"如果参数x大于参数y,返回值为两者之差,否则返回参数y的值.",0,0,0,0
1909419335330222081,0,1,"下列有关函数的说法,不正确的是?( )","使用random模块的函数randint(1, 100)获取随机数时,有可能会得到100","如果Python程序包含一个函数main(),这个函数与其他函数地位相同",函数是代码复用的一种方式,"已知 f = lambda x: 5,那么表达式 f(3)的值为3",D,"random.randint(a, b),a和b是两个整数,表示一个闭区间[a, b].函数的作用是生成一个位于这个闭区间内的随机整数,返回值为生成的随机整数;python并没有强制要求程序中必须有一个显式的主函数main(),如果有的话,与其他函数地位相同;函数本身是代码复用的一种方式;lambda x: 5不管传给函数的实参是什么,返回值都是5.",0,0,0,0
1909419418685067265,0,1,"运行下列程序,输出的结果是?( ) def f(x=2,y=0): return x-y y=f(y=f(),x=5) print(y)",-3,3,2,5,B,"第一次调用函数y=f(),没有提供参数值,则取默认值,y=f()值为2.第二次调用函数,传入的实参x=5,y=2,返回值为3.",0,0,0,0
1909421170568908801,0,1,"当n为10时,运行下列Python程序后的结果是?( ) def  fn(num): if num % 2 == 0: return False else: return True n=int(input(""请输入一个正整数:"")) print(fn(n))",True,False,出错不能运行,None,B,"当参数除以2的余数为0时,返回值为False,否则返回值为True.当传入参数为10,返回False.",0,0,0,0
1909421238426181633,0,3,"递归算法需要设置递归终止条件,不然会进入无限递归的情况.( )",,,,,1,"递归需要设置终止条件,否则会不断调用,形成无限递归的情况.",0,0,0,0
1909421275090964481,0,3,"递归算法的特点是调用自身,所以占用的存储空间较小.( )",,,,,0,递归调用会占用额外的存储空间.,0,0,0,0
1909421313491640322,0,3,"添加第三方库可以不用命令或集成开发工具,直接通过网络工具下载任意该库的.exe安装文件,运行安装即可.( )",,,,,0,需与当前使用Python版本相对应.,0,0,0,0
1909421346592706561,0,3,Python中return语句将函数值返回到调用函数的代码处.( ),,,,,1,函数return语句的用法.,0,0,0,0
1909421380233777153,0,3,"函数的返回值可以是整数型,字符串型,列表等,不能是字典类型.( )",,,,,0,"函数的返回值可以是整数型,字符串型,列表,元组,字典类型等.",0,0,0,0
1909421416436637698,0,3,"运行以下代码: def fun(x, y, z): return x + y - z print(fun(1, y=10, 3) 运行结果为:8.( )",,,,,0,"混用位置实参和关键字实参,位置实参必须放在关键字实参之前,否则运行程序会报错.",0,0,0,0
1909421453797675010,0,3,"一个袋子里有128枚硬币,其中一枚是假币,并且假币和真币外观一模一样,仅凭肉眼无法区分,仅知道假币比真币轻一些,我们现在借助天平来查找假币,最多称9次可以找到假币.( )",,,,,0,"128枚硬币可以用3分法分解: (43,43,42)->(14,14,15)->(5,5,4)->(2,2,1)->(1,1) 即最多称5次可以找到假币.",0,0,0,0
1909421484703129602,0,3,"算法的空间复杂度越高,说明算法对应的程序代码量越多.( )",,,,,0,考查空间复杂度的定义.,0,0,0,0
1909421514109014018,0,3,"在Python中自定义函数时,形参与返回值不是必需的( )",,,,,1,"如果函数不需要参数,则不需要定义形参.如果return 后没有返回值,也可以没有return 语句,这样的函数会返回None值.",0,0,0,0
1909421562507468801,0,3,"在Python中,函数体return语句之后的代码行都不会被执行,return语句结束整个函数.( )",,,,,1,"在Python自定义函数中,一旦执行到return语句,后面的语句就不再执行了.",0,0,0,0
1909421655217983490,0,4,"米粒问题 阿凡提与国王比赛下棋,国王说要是自己输了的话阿凡提想要什么他都可以拿得出来.阿凡提说那就要点米吧,棋盘一共64个小格子,在第一个格子里放1粒米,第二个格子里放2粒米,第三个格子里放4粒米,第四个格子里放8粒米,以此类推,后面每个格子里的米都是前一个格子里的2倍,一直把64个格子都放满.需要多少粒米呢?根据题意,请完善划线处的代码. def fun(n): x = ① for i in range(n): ② return x s = ③ for i in range(64): s += fun( ④ ) print(s)",,,,,,标准答案: 参考程序: def fun(n): x = 1 for i in range(n): x *= 2 return x s = 0 for i in range(64): s += fun(i) print(s) 试题难度:一般 试题解析: 评分标准: (1)1 或等效答案;(3分) (2)x *= 2 或等效答案;(4分) (3)0 或等效答案;(3分) (4)i 或等效答案.(2分),0,0,0,0
1909421856280715265,0,4,"查字典 假如字典为1000页,若用二分法来翻到具体指定的页码,则横线处能正确控制循环体运行的表达式是什么?请完善横线处的代码.x=int(input(""请输入要查找的页码(小于1000):"")) flagleft=1 flagright=1000 n=0 while ① : mid= (flagleft+flagright)//2 n=n+1 if  mid>x: ② elif mid<x: ③ else: break print('需要查找的次数为:',n)",,,,,,"参考程序: x=int(input(""请输入要查找的页数(小于1000):"")) flagleft=1 flagright=1000 n=0 while flagleft<=flagright : mid=(flagleft+flagright)//2 n=n+1 if  mid>x: flagright=mid-1 elif mid<x: flagleft=mid+1 else: break print('需要查找的次数为:',n)本题考查的知识点为二分法求解问题.空白处①需要填写的是退出循环的条件,即左边界页码要小于右边界页码;空白处②③需要填写的是左右边界的迭代控制. 评分标准: (1)flagleft<=flagright 或等效答案;(2分) (2)flagright=mid-1 或等效答案;(3分) (3)flagleft=mid+1 或等效答案.(3分)",0,0,0,0
1909422413781585921,0,4,"蜗牛爬行 一只蜗牛在如下图所示的数字方格上移动,已知它只能从标号小的方格移动到标号大的相邻方格.现在请你计算:蜗牛从方格M开始爬到方格N,1<=M<N<=1000,有多少种移动路线?以下用Python编程实现,请你补全代码. def woniu(m , n): k = ① a = [0] * (k+1) a[1]= 1 a[2]= ② for i in range(3, ③ ): a[i]= ④ return a[k] m = int(input()) n = int(input()) print(woniu(m,n))",,,,,,"参考代码: def woniu(m , n): k = n - m a = [0] * (k+1) a[1]=1 a[2]= 2 for i in range(3, k+1 ): a[i]= a[i-1]+a[i-2] return a[k] m = int(input()) n = int(input()) print(woniu(m,n)) 试题解析: 评分标准: (1)n – m  或等效答案;(3分) (2)2 或等效答案;(2分) (3)k+1 或等效答案;(2分) (4)a[i-1]+a[i-2] 或等效答案.(3分)",0,0,0,0
